Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Coluna 7,Coluna 8,Coluna 9,Coluna 10,Coluna 11,Coluna 12,Coluna 13,Coluna 14,Coluna 15,Coluna 16,Coluna 17,Coluna 18,Coluna 19,Coluna 20,Coluna 21,Coluna 22,Coluna 23,Coluna 24,Coluna 25,Coluna 26,Coluna 27,Coluna 28,Coluna 29,Coluna 30,Coluna 31,Coluna 32,Coluna 33,Coluna 34,Coluna 35,Coluna 36,Coluna 37,Coluna 38,Coluna 39,Coluna 40,Coluna 41,Coluna 42,Coluna 43,Coluna 44,Coluna 45,Coluna 46,Coluna 47,Coluna 48,Coluna 49,Coluna 50,Coluna 51,Coluna 52,Coluna 53,Coluna 54,Coluna 55,Coluna 56,Coluna 57,Coluna 58,Coluna 59,Coluna 60,Coluna 61,Coluna 62,Coluna 63,Coluna 64,Coluna 65,Coluna 66,Coluna 67,Coluna 68,Coluna 69,Coluna 70,Coluna 71,Coluna 72,Coluna 73,Coluna 74,Coluna 75,Coluna 76,Coluna 77,Coluna 78,Coluna 79,Coluna 80,Coluna 81,Coluna 82,Coluna 83,Coluna 84,Coluna 85,Coluna 86,Coluna 87,Coluna 88,Coluna 89,Coluna 90,Coluna 91,Coluna 92,Coluna 93,Coluna 94,Coluna 95,Coluna 96,Coluna 97,Coluna 98,Coluna 99,Coluna 100
62,0.945,rnqau,66,0.023,buptz,69,0.13,euvjg,41,0.675,xywwu,17,0.87,hgmgn,38,0.101,mokry,43,0.377,cqvbw,11,0.084,eabeg,33,0.269,jvalh,43,0.16,saqye,95,0.562,gsfeh,45,0.56,qbbze,84,0.364,olhvv,58,0.88,hjugp,15,0.796,jywtc,32,0.408,rjdeg,72,0.122,ixtqz,1,0.064,ntaju,16,0.039,nidxy,11,0.498,tmpkj,98,0.865,xatgu,55,0.783,offbj,57,0.019,rrbuu,54,0.254,zifxp,89,0.297,rdyjo,51,0.985,syrqb,93,0.847,khyye,41,0.707,kvukx,94,0.49,gudtt,73,0.995,rvssi,66,0.596,qrced,46,0.725,iqkux,52,0.188,iaudx,90
97,0.738,zdxxs,66,0.597,nrwqh,16,0.324,mgocs,82,0.728,nkxfv,28,0.076,ynels,11,0.053,akmfg,66,0.146,xncji,43,0.061,neoyk,38,0.594,eaths,62,0.954,fxhoe,62,0.787,bfsfp,3,0.058,otngb,62,0.092,yqgnw,89,0.4,fhhzl,75,0.264,slzhk,66,0.048,xoyzm,6,0.354,inili,1,0.299,yeley,18,0.194,qwmus,8,0.836,ernvh,41,0.905,yvdgm,41,0.487,hqwrb,0,0.701,tofvw,36,0.909,nerpo,13,0.211,uejrm,28,0.286,xxzwe,55,0.514,ewnkf,23,0.837,uhbin,73,0.936,cawcq,82,0.074,ivany,90,0.982,jbwxo,33,0.536,zonzw,32,0.517,cgdit,86
72,0.968,ajuxz,78,0.349,wiple,53,0.867,dixve,51,0.856,uaibt,48,0.116,dvzmn,42,0.918,sovgw,4,0.997,ujjdp,43,0.89,kmwhl,63,0.556,scjhb,4,0.226,rktky,6,0.197,yqfam,48,0.358,gnhqx,9,0.499,jgxfg,71,0.815,rdgss,18,0.609,whjbb,25,0.519,nefzi,22,0.947,fitri,82,0.365,lmejl,66,0.193,ttypl,11,0.606,ngczx,84,0.249,iwnib,53,0.426,xxpko,47,0.944,ybold,31,0.499,jlwyx,86,0.863,varfw,14,0.17,ercax,0,0.21,udwke,91,0.647,lmddj,37,0.787,zxazo,29,0.232,vvkxs,22,0.843,cdhpa,39,0.213,ebczt,84,0.941,pgjeq,97
2,0.547,wwyvn,29,0.279,fxdvr,27,0.284,kscth,92,0.94,cmatc,41,0.83,nuqoy,55,0.972,zovql,87,0.506,lucjz,11,0.977,hihra,9,0.541,xrkrj,60,0.982,owcfp,44,0.634,pxnco,52,0.049,wwwie,5,0.993,yfers,85,0.527,aocwu,3,0.503,gwjzp,80,0.143,fqdxa,67,0.373,muwds,28,0.89,qdgwa,49,0.556,gzxnq,48,0.264,pknoj,0,0.559,itwsl,86,0.276,aptui,39,0.782,pwuhv,79,0.601,cgpes,43,0.515,yivzw,86,0.393,xiyzu,30,0.405,oifdt,12,0.629,rxzed,58,0.942,ckwrk,35,0.026,rxwcx,57,0.518,dbpvc,44,0.163,yyqon,39,0.454,lvlpv,25
80,0.301,ekrfv,30,0.391,ujmzb,17,0.921,kmrvv,25,0.699,neunf,47,0.574,hazqt,61,0.504,qmcly,86,0.871,vneks,86,0.499,qvzmv,42,0.698,kbmgw,92,0.116,ndofu,72,0.304,dgxnk,91,0.403,ovxfq,50,0.503,zvjxe,66,0.124,mmron,43,0.502,afzhj,22,0.119,nebvv,28,0.041,ctcxq,60,0.833,vyexc,16,0.041,tnfnu,96,0.144,kyktc,81,0.607,qauwf,56,0.688,usyad,24,0.817,apgnm,34,0.479,iivfg,24,0.149,xogkt,64,0.375,bqdkt,53,0.37,yfaji,40,0.123,djhlo,44,0.876,wgzxv,71,0.691,xzpfm,52,0.498,vtolg,62,0.821,vgscj,32,0.778,rnaue,54
30,0.776,osvjr,6,0.989,sjbwp,37,0.483,owbza,70,0.974,rkcfv,35,0.288,aqmkh,15,0.78,qzasj,60,0.408,jcwwv,75,0.11,icfvi,10,0.192,ctyjm,35,0.629,erqtu,6,0.505,vcbmw,69,0.233,pmphi,45,0.967,fozmf,57,0.283,ttgwd,13,0.35,hhjla,50,0.575,brhto,25,0.038,eniiv,50,0.881,phrgn,11,0.943,oujii,26,0.365,qvdha,43,0.459,qmsak,65,0.154,dtxig,53,0.63,sxfix,3,0.095,hpmfb,18,0.745,ezcgy,22,0.381,lmoiw,21,0.482,wqvhx,48,0.306,svhmw,83,0.827,efwoj,17,0.388,azxwq,77,0.66,oczjz,81,0.723,oqqdv,35,0.081,sotln,5
74,0.076,hewdd,53,0.955,gcqbr,67,0.132,jqkep,7,0.838,jcvqx,12,0.489,tmdgb,34,0.616,byrjg,62,0.217,nztgd,8,0.94,hednf,28,0.953,ahdot,55,0.364,pypew,10,0.292,jauay,27,0.742,srdeh,42,0.115,bpolx,29,0.126,etsvy,33,0.722,pplzb,47,0.365,yuhrt,2,0.505,xidvl,48,0.989,uxcnb,84,0.908,gnxwu,39,0.748,xlqhh,0,0.405,yfrvm,82,0.35,rzmxo,35,0.627,ntnmd,37,0.894,wpjer,36,0.135,qsfdm,7,0.051,howck,81,0.198,uisag,58,0.778,phamm,72,0.873,wkrrd,84,0.175,hhnad,13,0.581,fmbdz,50,0.229,yenso,23,0.011,dwmfc,34
71,0.526,cqmqa,74,0.201,zzydd,94,0.613,zlbhd,88,0.959,aynoy,56,0.009,ttknr,85,0.354,rhznd,3,0.609,qkadq,42,0.639,jkkrx,0,0.494,uyukh,91,0.465,ghvhc,61,0.741,apogp,3,0.141,wzvcn,56,0.5,eabql,4,0.766,vbvor,94,0.954,tjeli,53,0.539,bvuwn,32,0.533,xwrhr,32,0.931,irjnb,79,0.466,dqbjl,14,0.305,fnftb,54,0.773,jfwdj,46,0.828,lapaa,17,0.694,zsjol,96,0.424,ffflw,78,0.083,sywrj,57,0.44,fbndc,80,0.703,ssjgq,42,0.539,ldkpx,78,0.234,ppyec,8,0.786,zjaum,88,0.833,rpftk,23,0.943,azvwl,35,0.086,jqwec,31
63,0.809,ypuio,50,0.197,fsrjx,11,0.997,ekudx,97,0.126,jdnxi,23,0.632,cxdcq,15,0.468,nasjx,91,0.73,kfdsj,47,0.09,ychis,89,0.52,gbfav,69,0.139,ubppv,87,0.266,ocitr,92,0.323,xahvn,62,0.919,qotsf,75,0.451,kxeef,81,0.299,czbvz,13,0.799,qsxwe,89,0.879,rsaww,98,0.822,muckp,56,0.789,fuvxl,55,0.345,fpnfb,47,0.77,mkfkq,37,0.777,nqvim,83,0.001,arlto,86,0.666,locql,62,0.07,pgfoh,47,0.565,ilauf,24,0.102,dcxzs,96,0.528,nowsf,12,0.992,pnnnx,96,0.446,ozxzw,10,0.275,ranrp,5,0.212,ciykh,95,0.59,zkzwo,90
19,0.221,xfivl,81,0.524,npnkf,63,0.856,ajsrg,79,0.573,obzle,56,0.894,yxosk,71,0.345,ezsfz,51,0.139,ryhvs,78,0.921,jfkmr,70,0.418,axvqj,64,0.151,tyely,26,0.17,uxaqi,95,0.509,imemw,34,0.315,thgrq,83,0.209,hegob,69,0.636,zqnou,64,0.221,oilnd,43,0.605,afrph,19,0.099,bjkmh,94,0.595,lcsae,68,0.834,jbccl,19,0.306,kifvl,73,0.307,llyar,13,0.904,krtpv,27,0.405,kbgyu,85,0.386,mwene,79,0.692,gfecg,97,0.066,moxae,43,0.509,gxnfm,0,0.074,oajtf,45,0.869,mwonv,5,0.008,uwrmh,72,0.994,rswfa,50,0.59,qmidg,50
33,0.087,uosnv,8,0.949,gfxig,15,0.845,xhhin,57,0.498,wwthp,29,0.206,uiaxs,95,0.012,ozwes,29,0.006,ralbt,6,0.173,rhjrc,73,0.445,trdua,23,0.648,wygqb,97,0.456,vvufj,91,0.59,mywhf,25,0.988,ihuzv,39,0.403,jeskz,71,0.583,wlian,29,0.194,fajnj,33,0.743,xytyz,46,0.406,akyyi,21,0.481,xemps,91,0.418,lksjh,17,0.338,wkuro,16,0.407,lstfk,74,0.904,algcl,57,0.131,jhdtr,4,0.462,bfsnb,56,0.261,dafya,77,0.776,kqsvz,89,0.797,qfcou,3,0.771,puqzd,84,0.496,uskrl,91,0.803,jsosy,86,0.993,yegbf,55,0.413,xgyve,65
69,0.989,foppq,63,0.349,osmem,23,0.985,ntudh,52,0.237,codsy,41,0.145,rijek,44,0.72,msfpw,65,0.029,tmmlv,18,0.294,kjcxg,69,0.397,xazin,76,0.561,qfxnj,76,0.751,toimh,53,0.83,yprcd,64,0.481,qwite,19,0.897,cezft,69,0.456,zrfja,5,0.846,qwomb,38,0.427,yeyce,23,0.119,mswoi,73,0.435,nduub,77,0.435,lnbog,64,0.627,agwxs,28,0.281,wbtjp,35,0.28,umlgv,0,0.7,lcrkv,84,0.084,vxcwj,16,0.383,tzzwz,66,0.083,vxuqv,36,0.223,nbpio,77,0.257,immak,43,0.829,vague,74,0.537,tljgt,12,0.193,wwvli,65,0.911,cfmfq,0
82,0.38,avvop,3,0.191,fhgok,37,0.139,nqfvg,74,0.615,fjelo,13,0.209,khgge,47,0.312,qfjam,64,0.072,lpwdk,30,0.149,vmsxq,37,0.786,kprch,70,0.837,dirhf,4,0.062,lgsra,72,0.721,uvyxl,78,0.782,gbxec,57,0.834,wnabl,29,0.566,ueobk,90,0.183,rnnfz,59,0.527,zhaxh,94,0.034,cmczv,43,0.717,mtzov,29,0.343,hinjp,77,0.963,dlacr,74,0.248,ajawq,15,0.113,vwhrk,58,0.458,atcus,60,0.044,prxwb,27,0.32,lktcu,44,0.833,upwzj,49,0.797,ojdve,11,0.586,unstn,81,0.39,ipymo,35,0.384,weecx,43,0.861,dqbqh,65,0.158,gjfvi,78
87,0.326,vmzye,36,0.925,ihdka,61,0.554,zzyxt,78,0.366,zjsaa,21,0.561,fgnaf,2,0.293,qwosz,73,0.068,boukq,80,0.885,jqqts,23,0.105,ijqwx,86,0.189,okmuu,77,0.011,vuzrh,66,0.025,ljywm,97,0.59,lgcwk,31,0.179,kwpep,44,0.925,lcuiw,96,0.808,turyl,13,0.698,kjppl,20,0.862,jrigy,68,0.823,medjq,29,0.184,akfms,71,0.811,zbdjz,27,0.772,hcwie,18,0.118,fjwyb,67,0.61,cewlt,76,0.014,ugjuu,26,0.223,mcdvk,43,0.411,ghwhm,89,0.695,ngcaz,65,0.395,vmcmc,61,0.444,lioxn,97,0.292,fgqqg,79,0.622,zaqdo,0,0.754,gwjpr,8
0,0.629,rkwhj,0,0.804,ajqvv,76,0.639,yjnie,94,0.91,wxjbh,29,0.342,ugrul,87,0.327,wcuhs,20,0.689,grcvs,11,0.303,jvpru,30,0.554,sijih,21,0.905,elluv,49,0.096,ghznf,52,0.498,hrqzs,76,0.247,pleyo,95,0.246,vwuvn,21,0.526,emppl,81,0.351,aozye,66,0.91,bdkts,81,0.75,xjeqn,69,0.749,fgwiz,91,0.15,beunw,21,0.092,alpjc,29,0.491,oyhbd,40,0.872,xnghj,70,0.358,dttau,57,0.945,edmkc,28,0.674,otbcm,14,0.676,nrzpi,6,0.594,zfexq,83,0.109,dgufp,98,0.159,dagee,21,0.542,rtqzg,35,0.444,ewszg,67,0.784,dygkf,12
92,0.307,pzkza,75,0.148,afgas,62,0.528,iwqqd,15,0.422,xeiud,99,0.881,sbkjx,76,0.67,tbjta,37,0.87,cpygq,99,0.864,gxthq,53,0.734,vvlws,44,0.467,cseft,84,0.514,nuegu,38,0.32,ndcwk,87,0.576,yagvl,65,0.408,etoed,49,0.023,nlbiw,34,0.7,ogmbm,7,0.993,tazuf,3,0.988,prrfb,39,0.345,vyjna,97,0.812,aucnv,68,0.221,rjocv,2,0.283,zkjes,21,0.785,cfymw,86,0.772,anveu,13,0.059,lubrx,16,0.26,acigy,36,0.61,idkhs,30,0.884,qgusq,30,0.763,vpbya,41,0.235,qbbrx,18,0.038,rthqe,95,0.24,wxeqs,81,0.609,khohk,96
83,0.455,tmrsl,1,0.012,mkuwz,59,0.401,nlslt,4,0.888,lvbcl,97,0.771,kujsp,92,0.706,gokzz,23,0.324,bcncc,66,0.575,jngda,55,0.161,rrzrb,10,0.41,mtafk,84,0.083,exlzx,44,0.041,oraps,12,0.309,vssqq,45,0.087,odmhy,62,0.773,wcodu,7,0.705,qpdok,45,0.421,boihb,93,0.448,rdfmv,70,0.135,acrfm,57,0.32,aucdq,55,0.888,wroij,79,0.551,zdkah,7,0.398,olsij,34,0.373,fiwtr,58,0.586,qrfwh,13,0.503,cdrkh,17,0.197,aawyd,12,0.938,szczf,30,0.677,xogzz,88,0.43,sfvbs,20,0.321,ubhru,39,0.343,oaojw,77,0.06,xxatm,63
43,0.841,zlmoe,50,0.557,njgdl,31,0.946,akdxt,38,0.746,sbniw,20,0.103,omkfc,48,0.335,pfprb,43,0.798,hnrek,33,0.799,fjqqj,92,0.13,ofcmv,17,0.902,xfbqf,80,0.809,epzed,57,0.708,sevsk,94,0.985,twnzs,74,0.886,ethff,62,0.936,xkmyb,22,0.274,unqbb,1,0.595,hjmdq,44,0.073,vwdcb,28,0.616,gikxm,93,0.708,zdyxv,85,0.039,rowsj,2,0.877,ubita,17,0.409,srqdr,53,0.179,nqrfa,67,0.738,abliz,96,0.944,ropfk,1,0.249,xlsos,49,0.489,rhlwg,86,0.118,pbdhg,97,0.562,crbbu,91,0.183,lhsjn,75,0.263,mcbub,26,0.325,mscpv,68
72,0.151,jfagn,8,0.141,rspis,75,0.819,zlgle,57,0.812,mizqm,18,0.304,ginpa,75,0.409,fdcld,40,0.969,fiayq,96,0.434,jpmjq,94,0.406,lxhjf,37,0.969,mxdzx,70,0.707,uvzxq,99,0.901,ebqow,73,0.189,agtwk,55,0.439,rsxaw,79,0.535,kimps,8,0.707,vshor,50,0.142,gcmfd,21,0.903,gqxnz,28,0.666,heyqb,76,0.485,dppzs,11,0.402,uljmw,60,0.126,bhotb,60,0.136,qpyud,61,0.298,czkzl,48,0.047,bidwg,89,0.094,nvwet,66,0.162,qrpnb,24,0.108,yyjwu,41,0.754,fwmyk,64,0.761,sgkxk,66,0.185,xmxhm,33,0.031,ajgoc,44,0.763,goycz,17
9,0.736,jvpge,3,0.338,jxpcz,40,0.47,pqduf,97,0.425,dzwwh,37,0.978,yxwmr,41,0.837,xcnbv,43,0.525,jozmq,29,0.063,zbqkw,94,0.428,jrbtg,34,0.177,dnzzn,90,0.61,qbere,13,0.612,ggukd,27,0.771,mioui,16,0.157,glbbi,14,0.161,tcylf,10,0.648,zlydx,75,0.345,ueyko,32,0.723,lukum,89,0.426,rjfkt,19,0.844,zxkis,19,0.483,qzwis,0,0.922,qzapy,98,0.993,gssvb,23,0.209,gukzx,12,0.102,ggjip,1,0.274,mgned,89,0.839,kohtq,69,0.959,sqlka,24,0.165,eucft,52,0.749,bwqnf,5,0.329,dvjzo,51,0.88,oupzl,18,0.155,sdbwh,81
78,0.813,pmzfh,71,0.607,cbtov,27,0.2,rlxbg,98,0.113,kheuz,79,0.806,dsvlh,21,0.244,wfllx,17,0.2,ubgmy,73,0.353,qneug,2,0.23,miktc,62,0.85,qhooy,34,0.755,yrevy,91,0.253,tuywx,38,0.252,nmgic,1,0.548,vemtg,13,0.273,dpldm,73,0.289,nsvge,23,0.635,dszyo,90,0.409,clhpb,43,0.688,meoqa,52,0.147,uiqxk,14,0.376,slpnk,49,0.102,fjmos,1,0.935,qzwzc,93,0.549,ezirj,30,0.912,nevsn,64,0.056,ewdey,33,0.365,wanrp,57,0.254,nxvcz,95,0.922,fvzzg,15,0.884,tltcg,73,0.624,lkcja,23,0.211,msvlz,12,0.431,zzovm,69
86,0.56,creyc,9,0.328,ibatp,53,0.915,sqxoi,96,0.666,fcsdi,83,0.112,alfrg,25,0.261,xewmj,25,0.256,npsuq,60,0.453,tkeyt,7,0.061,iynkv,72,0.592,fumnm,41,0.162,jetzk,57,0.601,ablve,80,0.926,pywai,66,0.213,mwlyd,43,0.91,pyxvz,22,0.3,lafqi,83,0.237,hikgm,84,0.444,rsiwm,54,0.599,euuee,61,0.871,pfjef,31,0.891,lifqz,71,0.434,jvobc,18,0.751,rmzbg,31,0.583,qulfq,63,0.592,zptyi,88,0.164,jylhh,93,0.304,afnoa,99,0.35,cxtff,71,0.751,sldiw,17,0.563,qrpoo,85,0.27,aqkcl,98,0.6,wnjoa,31,0.737,eddve,74
32,0.249,zdchy,42,0.266,xwzjm,10,0.586,hryzq,42,0.164,atdkh,42,0.915,jqjyd,60,0.653,dtbaj,45,0.145,wtfpe,69,0.175,uxfkp,46,0.757,qotdx,34,0.942,yoapn,54,0.954,gnfni,23,0.164,jrwml,62,0.316,fnccl,69,0.927,gjweb,96,0.948,skjlq,50,0.528,nblfn,52,0.455,fpvxz,13,0.889,vetbv,47,0.27,ccmdu,21,0.767,ygvkf,27,0.474,xmlwx,1,0.392,pplsp,36,0.544,fbmns,70,0.508,uhqcr,80,0.846,obveb,17,0.189,rdtoy,37,0.918,kdsbb,96,0.972,yzbds,55,0.111,xvpug,84,0.318,vbyvk,1,0.777,sgukr,3,0.038,eztel,14,0.777,locqg,60
96,0.564,nahvj,66,0.311,kvlqq,88,0.102,adsbv,35,0.42,jvmbw,9,0.379,ihbae,67,0.468,knusx,38,0.923,geuqw,16,0.444,wjeug,44,0.268,dybof,63,0.52,utssx,81,0.009,dmoxu,10,0.273,njwgp,38,0.513,hpnmy,76,0.466,jdptp,84,0.949,mwnyl,27,0.659,oyzoz,59,0.769,hprjq,31,0.291,cxeyd,36,0.655,edevn,58,0.867,acpkd,34,0.125,werdb,24,0.241,thjdn,35,0.686,watfb,88,0.431,atrxl,62,0.711,bfkmi,23,0.431,ftujn,64,0.976,mspzb,36,0.87,wrknb,65,0.103,vound,38,0.632,qkzkw,39,0.359,fmfhv,6,0.781,wzbcw,93,0.795,ahlds,13
28,0.546,aatyo,94,0.525,neptc,23,0.793,qslsg,8,0.257,ixpci,27,0.385,nonvr,27,0.328,cijre,62,0.269,dfzox,18,0.934,bkvsg,59,0.368,mzkxi,41,0.9,jaagw,42,0.558,hasbn,5,0.19,xazpq,66,0.615,fumiy,91,0.955,xqjpu,14,0.047,kdozq,8,0.915,jpacr,54,0.911,tvjad,83,0.649,nkmwd,56,0.954,tvynv,57,0.855,izzot,40,0.034,acinm,31,0.04,nlrrh,71,0.1,damuc,65,0.157,bviki,47,0.406,qfpsv,82,0.5,dihei,30,0.254,cmreg,23,0.105,zmimp,91,0.978,fscks,65,0.048,sumrl,34,0.585,lrgwm,10,0.904,nkijx,17,0.165,yxfur,0
37,0.174,fctfl,54,0.102,fiqks,96,0.645,shvjm,79,0.255,zxdmw,33,0.575,fambg,6,0.798,tljqk,55,0.852,xaqgl,39,0.768,fgwir,64,0.488,vqczw,48,0.742,vanio,58,0.663,rjjgh,85,0.683,hvbsa,69,0.929,hgxdg,1,0.548,ekyck,90,0.3,mwqxd,40,0.336,nfrbc,27,0.318,sydpf,19,0.565,rwrqi,74,0.63,wndgo,64,0.476,zdsxi,99,0.987,fszpx,40,0.418,okbyj,48,0.707,bjnrv,2,0.885,brfjz,67,0.661,ehjsb,16,0.047,ouodw,42,0.328,vrojf,40,0.245,dxzho,81,0.666,caqrn,53,0.632,gzpjf,48,0.399,osjdd,53,0.144,cyhoi,44,0.548,fluys,89
97,0.42,ndnlt,19,0.853,xsfcq,91,0.899,pxlmu,42,0.92,sjvuk,39,0.602,evkpj,5,0.485,bzffa,83,0.142,jnadm,94,0.918,gqsdo,57,0.817,mhxvm,33,0.468,wbnbs,11,0.765,rlalv,29,0.78,xrgfn,97,0.865,fgubs,83,0.219,mprai,45,0.372,nsxan,47,0.372,gfeed,81,0.921,kipac,71,0.148,kpuug,53,0.047,eiubs,99,0.908,abcgv,33,0.627,ihwyt,33,0.161,xcjld,30,0.506,gtcbe,90,0.559,mwedi,62,0.842,raefz,92,0.167,evjyu,57,0.706,kbzhs,76,0.008,wzptq,18,0.667,klshf,89,0.243,ivzhy,5,0.271,onwjq,23,0.69,hsamq,63,0.767,czmsy,59
28,0.792,rikuj,69,0.213,xsazi,14,0.504,ymsht,32,0.695,rzkvn,18,0.509,cmpvj,46,0.185,hpxun,99,0.726,pcbpn,75,0.231,isygp,66,0.262,zlcts,23,0.824,fslqx,69,0.872,lmfyo,94,0.911,fssoe,61,0.437,grici,15,0.283,cfyao,2,0.46,asjpd,11,0.298,pdmzl,79,0.018,yxqus,20,0.073,vlfsr,91,0.661,ltwyg,38,0.427,uwbao,63,0.575,onofd,79,0.699,dkakx,24,0.813,tujxd,27,0.885,mumzg,26,0.308,ppakd,29,0.549,ycnzl,16,0.924,lnydv,79,0.251,xqlyy,48,0.373,dywyq,78,0.33,clbia,20,0.473,fgsrc,58,0.313,lsiun,61,0.079,ktfhx,72
33,0.723,ealpa,90,0.597,zbotb,54,0.646,zovlv,10,0.911,ndscb,41,0.109,rzqav,87,0.882,hlnkt,58,0.588,xuggw,72,0.037,wmqhq,66,0.645,bquar,68,0.259,vcjeq,64,0.326,xgxds,15,0.226,gepko,67,0.113,mksym,90,0.014,xliyj,57,0.911,xbdza,28,0.473,qbxnr,82,0.108,grere,46,0.441,cugru,64,0.693,uhlox,56,0.321,topwu,3,0.012,chejz,60,0.571,onrxy,54,0.867,qjvfm,41,0.965,nfvke,43,0.891,phbgd,21,0.429,iedec,75,0.755,xallc,38,0.763,qcucq,47,0.348,brjir,66,0.204,gzmcf,51,0.176,rpexl,71,0.679,hudmh,8,0.28,kfjik,31
15,0.925,bdame,56,0.104,pjfeb,63,0.415,jkqac,75,0.532,xbede,50,0.978,tgwxy,25,0.913,gqzoa,68,0.843,tlvft,57,0.952,blflf,36,0.525,ephug,17,0.929,jnumk,2,0.464,wqdde,65,0.647,llnyy,76,0.324,bvheu,38,0.413,gsvgg,65,0.043,ovepe,68,0.543,wrnfo,55,0.917,qkghb,66,0.729,lgexy,45,0.154,brltk,75,0.676,rqsqe,3,0.787,ujzge,78,0.833,doubg,45,0.134,xxaor,94,0.112,itcpp,92,0.121,absvj,10,0.75,ustnt,48,0.295,tezjv,51,0.045,nefzo,46,0.397,uzlgb,77,0.806,qjptd,99,0.355,kclqw,79,0.7,ivazr,97,0.184,zarqa,94
50,0.75,xmybm,87,0.239,tlvik,89,0.481,spngn,37,0.531,gbxsc,51,0.202,rjuoe,2,0.914,axteh,61,0.886,ghahp,75,0.785,jqmmt,48,0.377,hdghx,5,0.507,uptpn,60,0.947,ulome,72,0.158,ddory,92,0.322,drusu,68,0.742,uazjr,23,0.3,cqpoo,11,0.519,kftyt,16,0.519,lpncn,60,0.19,peeyk,90,0.184,oofxz,29,0.628,jhubr,68,0.299,kxsqm,18,0.159,jctrd,91,0.393,ocqbc,51,0.622,ciltf,77,0.816,priel,83,0.719,rtumi,8,0.289,fjkgx,56,0.079,ifnei,51,0.268,yfepe,7,0.014,kxyvo,7,0.242,xjjvr,75,0.544,hiqds,66,0.332,lbdtq,44
37,0.882,ophzm,68,0.292,tsobl,27,0.54,gnoxn,40,0.844,eldmi,99,0.307,lgnny,35,0.446,vrien,82,0.986,sndpw,28,0.443,yipri,33,0.416,izppq,50,0.701,pkjel,54,0.005,dvynb,80,0.891,pflke,85,0.206,rpvja,38,0.903,xlxlc,53,0.011,myadx,71,0.06,aldya,90,0.409,bhvom,59,0.505,pgnag,70,0.668,xjvuo,0,0.648,cveoc,80,0.405,qnwbc,82,0.073,xxgrf,85,0.86,omqqa,17,0.24,qddox,93,0.939,aocxk,99,0.149,vofya,38,0.737,yrnsg,35,0.141,lpbrp,13,0.716,znjrh,84,0.451,eelki,84,0.446,jwtrn,4,0.269,twysm,50,0.436,ynkyc,91
36,0.212,fqpvt,54,0.489,lmvzl,8,0.207,ajhim,77,0.09,mbcgs,49,0.9,xwpqn,2,0.364,uvmry,4,0.93,glvwa,16,0.356,pvsfw,2,0.292,gxigg,71,0.554,mmmgx,49,0.308,galib,52,0.804,lomzz,80,0.871,eldkn,98,0.154,kutax,25,0.673,azjzx,53,0.405,fiozm,94,0.577,pebra,43,0.376,uifmp,20,0.238,zuwfk,54,0.686,gcmxb,53,0.373,quiub,90,0.368,nzjwm,50,0.429,adcph,16,0.567,cptjc,66,0.199,pexnd,13,0.513,yynul,45,0.483,asepa,83,0.874,msjno,69,0.217,fmmxy,6,0.578,xzbsj,55,0.671,nlifa,79,0.09,ycgwp,98,0.964,uzkpf,50
45,0.558,aoikv,88,0.841,maeet,66,0.924,eccln,45,0.703,afcjl,93,0.4,bdluy,16,0.054,qhfhu,73,0.41,pyiwf,45,0.208,zlnxu,51,0.988,zlyxl,58,0.12,kdyll,14,0.728,tetss,86,0.156,bijlm,1,0.339,plwuf,61,0.914,zwzpd,98,0.907,oawoj,49,0.147,eyvjo,82,0.184,swygz,85,0.009,yipyh,10,0.836,hchyq,17,0.332,upnwe,57,0.447,rhpvh,34,0.274,bmsoz,47,0.348,nrmoi,7,0.913,amrom,74,0.722,gckxk,26,0.686,yxufl,92,0.229,iktjy,33,0.152,bnmnb,55,0.049,xkvdw,74,0.553,lwzdb,36,0.361,znpix,86,0.985,sbptu,61,0.48,gxqsr,45
76,0.012,vnxru,1,0.863,yxefc,49,0.473,whoya,5,0.668,suomu,0,0.882,ascpy,11,0.644,cieui,61,0.505,nbuxd,76,0.717,vfwxv,22,0.731,afcxg,43,0.114,cemkg,58,0.827,uyluq,29,0.518,kaccp,74,0.426,msibt,57,0.631,ztdmm,63,0.939,ljmxi,34,0.45,arsvg,6,0.166,quzai,79,0.125,uaefu,99,0.22,ggfzw,0,0.672,qkxfj,26,0.919,pmsop,38,0.334,kgobk,30,0.519,vgssl,37,0.961,eajfl,34,0.237,mhjka,30,0.706,goyye,57,0.132,kdjqk,59,0.774,hijgd,12,0.636,hukcl,66,0.035,cwzbm,19,0.551,grzgn,21,0.674,zljhj,89,0.799,texwj,75
